District,DPI,DemBase,Name,Party,Pickup,Pickup_code,YearElected,MNLEGPERC2014,MNGOVPERC2014,MNLEGDIST2014
10A,0.4612608543779103,0.397856046891677,Josh Heintzeman,Republican,Republican,0,2014,0.4653703703703704,0.4146837627912711,10A
10B,0.4861487796309264,0.43066112487258146,Dale Lueck,Republican,Republican,0,2014,0.4799797263051191,0.454320987654321,10B
11A,0.626845732704078,0.5774183820526806,Mike Sundin,DFL,Incumbent,1,2012,0.6234730066990674,0.5921624602608188,11A
11B,0.5067552935450159,0.4505991664106349,Jason Rarick,Republican,Republican,0,2014,0.46151657419263054,0.45932371250707416,11B
12A,0.5029616726484132,0.4102361413816237,Jeff Backer,Republican,Republican,0,2014,0.47926075588305206,0.47266900112766336,12A
12B,0.4211512310852713,0.32860207407184827,Paul Anderson,Republican,Incumbent,1,2008,0.3210231158528245,0.3688674764198955,12B
13A,0.4420191293923742,0.3592445485085039,Jeff Howe,Republican,Incumbent,1,2012,0.3938087497349636,0.4057628062360802,13A
13B,0.40810886923265577,0.18524956543332505,Tim O'Driscoll,Republican,Incumbent,1,2010,0.0,0.3988715897728896,13B
14A,0.4900812531868667,0.42277314871319593,Tama Theis,Republican,Incumbent,1,2013,0.4496310796566782,0.46104763317999703,14A
14B,0.5350917739258748,0.4727603382507549,Jim Knoblach,Republican,Incumbent,1,1994,0.49540392434152375,0.49325456308967464,14B
15A,0.4527331886451765,0.3943987351074728,Sondra Erickson,Republican,Incumbent,1,1998,0.3680277756811835,0.4072855112573865,15A
15B,0.3991007017823069,0.3262878848353028,Jim Newberger,Republican,Incumbent,1,2012,0.35948943293576063,0.33818726183995645,15B
16A,0.49902808761802486,0.4070308988240562,Chris Swedzinski,Republican,Incumbent,1,2010,0.3824453649478646,0.4455091533180778,16A
16B,0.4382380921933863,0.3361845788310126,Paul Torkelson,Republican,Incumbent,1,2008,0.3494727781364321,0.3927887004045709,16B
